wafer,current_chip_id,new_pos_x,new_pos_y
9,Band01,-1,-4
9,Band03,0,-6
9,Band05,-1,-1
9,Band07,0,-2
9,Band09,1,4
9,Band11,1,2
9,Band13,1,0
11,Band00,-1,-3
11,Band02,-1,-4
11,Band11,1,3
11,Band13,1,4
12,Band00,-1,-3
12,Band02,-1,-4
12,Band11,1,3
12,Band13,1,4
14,Band00,-1,4
14,Band00_(1.000&4.000),1,-4
14,Band01,-1,3
14,Band01_(-2.000&-2.000),1,-3
14,Band02,-1,-4
14,Band02_(1.000&2.000),1,-2
14,Band03,-1,1
14,Band03_(-1.000&-1.000),1,-1
14,Band04,-1,0
14,Band05,-1,-1
14,Band05_(0.000&0.000),1,1
14,Band06,-1,-2
14,Band06_(1.000&-2.000),1,2
14,Band07,0,-1
14,Band07_(2.000&2.000),0,1
14,Band08,0,-2
14,Band08_(0.000&-2.000),0,2
14,Band09,0,-3
14,Band09_(3.000&3.000),0,3
14,Band10,0,-4
14,Band10_(0.000&-4.000),0,4
14,Band11,0,-5
14,Band11_(-5.000&-5.000),0,5
14,Band12,0,6
14,Band12_(0.000&-6.000),0,6
14,Band13,0,-7
14,Band13_(-3.000&-3.000),0,7
15,Band00,-1,-3
15,Band02,-1,-4
15,Band11,1,3
15,Band13,1,4
16,Band13,1,4